solver,problem,factor,default,tested,tested_scores,best,best_score,baseline_score
STRONG,SAN-1,eta_0,0.01,"[0.005, 0.01, 0.02]","[28.809718608647835, 28.809718608647835, 28.809718608647835]",0.005,28.809718608647835,28.809718608647835
STRONG,SAN-1,eta_1,0.3,"[0.15, 0.3, 0.6]","[28.809718608647835, 28.809718608647835, 28.809718608647835]",0.15,28.809718608647835,28.809718608647835
STRONG,SAN-1,gamma_1,0.9,"[0.45, 0.9, 1.8]","[28.809718608647835, 28.809718608647835, inf]",0.45,28.809718608647835,28.809718608647835
STRONG,SAN-1,gamma_2,1.11,"[0.555, 1.11, 2.22]","[inf, 28.809718608647835, 28.809718608647835]",1.11,28.809718608647835,28.809718608647835
STRONG,SAN-1,lambda_2,1.01,"[0.505, 1.01, 2.02]","[inf, 28.809718608647835, 33.97194726141346]",1.01,28.809718608647835,28.809718608647835
STRONG,NETWORK-1,n0,10.0,"[5, 10, 20]","[72.39229520642154, 72.39229520642154, 72.39229520642154]",5.0,72.39229520642154,72.39229520642154
STRONG,NETWORK-1,n_r,10.0,"[5, 10, 20]","[71.09342221847669, 72.39229520642154, 72.3967721174084]",5.0,71.09342221847669,72.39229520642154
STRONG,NETWORK-1,eta_0,0.01,"[0.005, 0.01, 0.02]","[72.39229520642154, 72.39229520642154, 72.39229520642154]",0.005,72.39229520642154,72.39229520642154
STRONG,NETWORK-1,eta_1,0.3,"[0.15, 0.3, 0.6]","[72.39229520642154, 72.39229520642154, 72.39229520642154]",0.15,72.39229520642154,72.39229520642154
STRONG,NETWORK-1,gamma_1,0.9,"[0.45, 0.9, 1.8]","[72.39229520642154, 72.39229520642154, inf]",0.45,72.39229520642154,72.39229520642154
STRONG,NETWORK-1,gamma_2,1.11,"[0.555, 1.11, 2.22]","[inf, 72.39229520642154, 72.39229520642154]",1.11,72.39229520642154,72.39229520642154
STRONG,NETWORK-1,lambda_2,1.01,"[0.505, 1.01, 2.02]","[inf, 72.39229520642154, 72.39229520642154]",1.01,72.39229520642154,72.39229520642154
STRONG,ROSENBROCK-1,n0,10.0,"[5, 10, 20]","[120.25959411748255, 120.25959411748255, 120.25959411748255]",5.0,120.25959411748255,120.25959411748255
STRONG,ROSENBROCK-1,n_r,10.0,"[5, 10, 20]","[120.25959411748245, 120.25959411748255, 605.7069858652305]",5.0,120.25959411748245,120.25959411748255
STRONG,ROSENBROCK-1,eta_0,0.01,"[0.005, 0.01, 0.02]","[120.25959411748255, 120.25959411748255, 120.25959411748255]",0.005,120.25959411748255,120.25959411748255
STRONG,ROSENBROCK-1,eta_1,0.3,"[0.15, 0.3, 0.6]","[120.25959411748255, 120.25959411748255, 120.25959411748255]",0.15,120.25959411748255,120.25959411748255
STRONG,ROSENBROCK-1,gamma_1,0.9,"[0.45, 0.9, 1.8]","[120.25959411748255, 120.25959411748255, inf]",0.45,120.25959411748255,120.25959411748255
STRONG,ROSENBROCK-1,gamma_2,1.11,"[0.555, 1.11, 2.22]","[inf, 120.25959411748255, 120.25959411748255]",1.11,120.25959411748255,120.25959411748255
STRONG,ROSENBROCK-1,lambda_2,1.01,"[0.505, 1.01, 2.02]","[inf, 120.25959411748255, 120.25959411748252]",2.02,120.25959411748252,120.25959411748255
STRONG,SSCONT-1,n0,10.0,"[5, 10, 20]","[616.2006225175961, 616.2006225175961, 616.2006225175961]",5.0,616.2006225175961,616.2006225175961
STRONG,SSCONT-1,n_r,10.0,"[5, 10, 20]","[614.0959108662828, 616.2006225175961, 616.2789749700505]",5.0,614.0959108662828,616.2006225175961
STRONG,SSCONT-1,eta_0,0.01,"[0.005, 0.01, 0.02]","[616.2006225175961, 616.2006225175961, 616.2006225175961]",0.005,616.2006225175961,616.2006225175961
STRONG,SSCONT-1,eta_1,0.3,"[0.15, 0.3, 0.6]","[616.2006225175961, 616.2006225175961, 616.2006225175961]",0.15,616.2006225175961,616.2006225175961
STRONG,SSCONT-1,gamma_1,0.9,"[0.45, 0.9, 1.8]","[612.089952706834, 616.2006225175961, inf]",0.45,612.089952706834,616.2006225175961
STRONG,SSCONT-1,gamma_2,1.11,"[0.555, 1.11, 2.22]","[inf, 616.2006225175961, 616.164596532086]",2.22,616.164596532086,616.2006225175961
STRONG,SSCONT-1,lambda_2,1.01,"[0.505, 1.01, 2.02]","[inf, 616.2006225175961, 615.1734724619778]",2.02,615.1734724619778,616.2006225175961
STRONG,DYNAMNEWS-1,n0,10.0,"[5, 10, 20]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",5.0,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,n_r,10.0,"[5, 10, 20]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",5.0,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,eta_0,0.01,"[0.005, 0.01, 0.02]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",0.005,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,eta_1,0.3,"[0.15, 0.3, 0.6]","[151.6227766016838, 151.6227766016838, 151.6227766016838]",0.15,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,gamma_1,0.9,"[0.45, 0.9, 1.8]","[151.6227766016838, 151.6227766016838, inf]",0.45,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,gamma_2,1.11,"[0.555, 1.11, 2.22]","[inf, 151.6227766016838, 151.6227766016838]",1.11,151.6227766016838,151.6227766016838
STRONG,DYNAMNEWS-1,lambda_2,1.01,"[0.505, 1.01, 2.02]","[inf, 151.6227766016838, 151.6227766016838]",1.01,151.6227766016838,151.6227766016838
