solver,problem,dim,factor,default,tested,tested_scores,best,best_score,baseline_score
ASTRODF,ROSENBROCK-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[28716.676652254788, 28716.676652254788, 28716.676652254788]",0.01,28716.676652254788,28716.676652254788
ASTRODF,PARAMESTI-1,100,eta_1,0.1,"[0.01, 0.05, 0.08]","[-3.8163685485741285, -3.82862281328034, -3.8341949990501245]",0.08,-3.8341949990501245,-3.8483488137535353
ASTRODF,PARAMESTI-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[-3.8437827413303958, -3.801176243615568, -3.8483488137535353]",0.8,-3.8483488137535353,-3.8483488137535353
ASTRODF,PARAMESTI-1,100,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, -3.7769487252287464, -3.802971628417543]",3.5,-3.802971628417543,-3.8483488137535353
ASTRODF,PARAMESTI-1,100,gamma_2,0.5,"[0.2, 0.3, 0.7]","[-3.869575942034704, -3.8313653228431805, -3.8145400026595264]",0.2,-3.869575942034704,-3.8483488137535353
ASTRODF,PARAMESTI-1,100,lambda_min,5.0,"[4, 6, 8]","[-3.8229464755423797, -3.790960504133571, -3.8464119095281997]",8.0,-3.8464119095281997,-3.8483488137535353
ASTRODF,PARAMESTI-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[-3.845300780062675, -3.845164548255377, -3.8483488137535353]",0.1,-3.8483488137535353,-3.8483488137535353
ASTRODF,DYNAMNEWS-1,100,eta_1,0.1,"[0.01, 0.05, 0.08]","[-305.8771282218682, -305.8771282218682, -305.8771282218682]",0.01,-305.8771282218682,-305.8771282218682
ASTRODF,DYNAMNEWS-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[-305.8771282218682, -305.8771282218682, -305.8771282218682]",0.2,-305.8771282218682,-305.8771282218682
ASTRODF,DYNAMNEWS-1,100,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, -305.8771282218682, -305.8771282218682]",2.0,-305.8771282218682,-305.8771282218682
ASTRODF,DYNAMNEWS-1,100,gamma_2,0.5,"[0.2, 0.3, 0.7]","[-305.8771282218682, -305.8771282218682, -305.8771282218682]",0.2,-305.8771282218682,-305.8771282218682
ASTRODF,DYNAMNEWS-1,100,lambda_min,5.0,"[4, 6, 8]","[-305.8771282218682, -305.8771282218682, -305.8771282218682]",4.0,-305.8771282218682,-305.8771282218682
ASTRODF,DYNAMNEWS-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[-305.8771282218682, -305.8771282218682, -305.8771282218682]",0.01,-305.8771282218682,-305.8771282218682
NELDMD,SAN-1,100,r,30.0,"[12, 24, 48]","[83.9768369692374, 87.09146990941375, 100.66188010864333]",12.0,83.9768369692374,100.66188010864333
NELDMD,NETWORK-1,100,r,30.0,"[12, 24, 48]","[2810.2365854618565, 3294.206685486346, 3294.206685486346]",12.0,2810.2365854618565,3294.206685486346
NELDMD,ROSENBROCK-1,100,r,30.0,"[12, 24, 48]","[39699.54281375205, 39699.54281375205, 39699.54281375205]",12.0,39699.54281375205,39699.54281375205
NELDMD,PARAMESTI-1,100,r,30.0,"[12, 24, 48]","[-3.871944872279867, -3.840778392730699, -3.7876601806460197]",12.0,-3.871944872279867,-3.8274635401706303
NELDMD,DYNAMNEWS-1,100,r,30.0,"[12, 24, 48]","[-246.1426021702063, -321.3443511178346, -324.0]",48.0,-324.0,-324.0
RNDSRCH,SAN-1,100,sample_size,10.0,"[4, 8, 16]","[156.12048275990924, 153.82075409650128, 153.82075409650128]",8.0,153.82075409650128,153.82075409650128
RNDSRCH,NETWORK-1,100,sample_size,10.0,"[4, 8, 16]","[2286.9804952519744, 2271.0279806478397, 2339.350813183683]",8.0,2271.0279806478397,2363.972828247244
RNDSRCH,ROSENBROCK-1,100,sample_size,10.0,"[4, 8, 16]","[13457.557635604244, 15633.203750374401, 16620.753073751952]",4.0,13457.557635604244,16538.535264248305
RNDSRCH,PARAMESTI-1,100,sample_size,10.0,"[4, 8, 16]","[-3.9740354981173556, -3.8796535831252026, -3.9306718361415593]",4.0,-3.9740354981173556,-3.9449022176035555
RNDSRCH,DYNAMNEWS-1,100,sample_size,10.0,"[4, 8, 16]","[-324.0, -324.0, -324.0]",4.0,-324.0,-324.0
STRONG,SAN-1,100,n0,10.0,"[4, 6, 8]","[138.36873650524458, 138.36873650524458, 134.77778577195946]",8.0,134.77778577195946,134.77778577195946
STRONG,SAN-1,100,n_r,10.0,"[4, 6, 8]","[123.38943762994712, 130.38138333389696, 134.36281035669703]",4.0,123.38943762994712,134.77778577195946
STRONG,SAN-1,100,eta_0,0.01,"[0.001, 0.005, 0.01]","[134.77778577195946, 134.77778577195946, 134.77778577195946]",0.001,134.77778577195946,134.77778577195946
STRONG,SAN-1,100,eta_1,0.3,"[0.05, 0.15, 0.3]","[134.77778577195946, 134.77778577195946, 134.77778577195946]",0.05,134.77778577195946,134.77778577195946
STRONG,SAN-1,100,gamma_1,0.9,"[0.3, 0.45, 0.6]","[135.78366464650207, 135.78366464650207, 134.77778577195946]",0.6,134.77778577195946,134.77778577195946
STRONG,SAN-1,100,gamma_2,1.11,"[1.1, 1.33, 1.5]","[134.77778577195946, 134.77778577195946, 134.77778577195946]",1.1,134.77778577195946,134.77778577195946
STRONG,SAN-1,100,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, 141.65064472088883, 145.67433879133074]",1.414,141.65064472088883,134.77778577195946
STRONG,NETWORK-1,100,n0,10.0,"[4, 6, 8]","[2362.030469964967, 2362.030469964967, 2362.030469964967]",4.0,2362.030469964967,2362.030469964967
STRONG,NETWORK-1,100,n_r,10.0,"[4, 6, 8]","[2453.214233414604, 2417.88074520625, 2341.732674093656]",8.0,2341.732674093656,2362.030469964967
