dim,budget,cp,power,alpha,exact,within1,mean_regret,median_regret
20,500,0.2,1.0,1.0,26,26,0.04115730491894225,0.0
20,500,0.2,1.5,0.0,28,28,0.025861298794302264,0.0
20,500,0.2,1.5,0.25,24,26,0.020451717144115963,0.0016891328670665933
20,500,0.2,1.5,0.5,25,29,0.024219686545178188,0.0011645133964737972
20,500,0.2,1.5,1.0,16,19,0.04425644467107166,0.029805567283385372
20,500,0.2,2.0,0.0,27,28,0.01874648366971476,0.0
20,500,0.2,2.0,0.25,20,21,0.022603231522736,0.005790434077435798
20,500,0.2,2.0,0.5,21,28,0.029019798294840485,0.008510661615017545
20,500,0.2,2.0,1.0,8,13,0.04704837010989014,0.034715780982909575
20,500,0.2,3.0,0.0,25,26,0.019035170771247136,0.0023464438346697813
20,500,0.2,3.0,0.25,18,23,0.025946651533320632,0.018833694339462845
20,500,0.2,3.0,0.5,15,20,0.03759220335104651,0.029505269275701483
20,500,0.2,3.0,1.0,1,1,0.09913746719692818,0.07884700867146911
20,1000,0.01,1.0,0.0,43,46,0.0005241769350200947,0.0
20,1000,0.01,1.0,0.25,44,47,0.00011901386472783715,0.0
20,1000,0.01,1.0,0.5,48,49,0.00032625508487838363,0.0
20,1000,0.01,1.0,1.0,42,43,0.0005522393970292558,0.0
20,1000,0.01,1.5,0.0,45,47,0.00011756787668804599,0.0
20,1000,0.01,1.5,0.25,46,46,0.00011266840024535575,0.0
20,1000,0.01,1.5,0.5,44,45,0.0006580381969746971,0.0
20,1000,0.01,1.5,1.0,45,46,0.00014363370121665866,0.0
20,1000,0.01,2.0,0.0,48,48,0.00011382447495540793,0.0
20,1000,0.01,2.0,0.25,44,45,0.00011420244776685933,0.0
20,1000,0.01,2.0,0.5,43,45,0.00043654704436536546,0.0
20,1000,0.01,2.0,1.0,46,47,0.00014563928479385268,0.0
20,1000,0.01,3.0,0.0,44,46,0.00031145021378833313,0.0
20,1000,0.01,3.0,0.25,45,46,0.00036924029645069066,0.0
20,1000,0.01,3.0,0.5,47,48,0.0001463281297096492,0.0
20,1000,0.01,3.0,1.0,47,47,5.257956989441294e-05,0.0
20,1000,0.03,1.0,0.0,47,50,0.00043446465141802046,0.0
20,1000,0.03,1.0,0.25,44,44,0.0002457528146438706,0.0
20,1000,0.03,1.0,0.5,48,48,4.8010790798210385e-05,0.0
20,1000,0.03,1.0,1.0,47,49,0.000503640620618781,0.0
20,1000,0.03,1.5,0.0,43,46,0.0005303250940086158,0.0
20,1000,0.03,1.5,0.25,46,47,0.00034412411821495,0.0
20,1000,0.03,1.5,0.5,48,49,0.00021892866744883916,0.0
20,1000,0.03,1.5,1.0,44,45,0.00032442250794545256,0.0
20,1000,0.03,2.0,0.0,44,44,0.0006308834198317302,0.0
20,1000,0.03,2.0,0.25,44,45,0.0006982767380536051,0.0
20,1000,0.03,2.0,0.5,47,47,0.00021232934971189397,0.0
20,1000,0.03,2.0,1.0,46,46,0.0001709846951497173,0.0
20,1000,0.03,3.0,0.0,44,45,0.0006221555968840358,0.0
20,1000,0.03,3.0,0.25,44,44,0.0004403978263050777,0.0
20,1000,0.03,3.0,0.5,47,47,0.0003538538198486413,0.0
20,1000,0.03,3.0,1.0,43,45,0.00045321512308216266,0.0
20,1000,0.05,1.0,0.0,42,45,0.0010327074873707509,0.0
20,1000,0.05,1.0,0.25,48,48,0.0003447448261954211,0.0
20,1000,0.05,1.0,0.5,41,43,0.0011298570121299463,0.0
20,1000,0.05,1.0,1.0,43,44,0.0005687963537285917,0.0
20,1000,0.05,1.5,0.0,43,44,0.00044555783999793006,0.0
20,1000,0.05,1.5,0.25,39,42,0.001419772011363473,0.0
20,1000,0.05,1.5,0.5,46,47,0.0005454350398319833,0.0
20,1000,0.05,1.5,1.0,44,44,0.0008233169834086046,0.0
20,1000,0.05,2.0,0.0,45,45,0.0007963920416596267,0.0
20,1000,0.05,2.0,0.25,45,47,0.0005508911890889774,0.0
20,1000,0.05,2.0,0.5,44,46,0.0005951674339372788,0.0
20,1000,0.05,2.0,1.0,34,35,0.0025962494424916906,0.0
20,1000,0.05,3.0,0.0,44,45,0.0008158800444982026,0.0
20,1000,0.05,3.0,0.25,37,38,0.0027172901698070484,0.0
20,1000,0.05,3.0,0.5,40,40,0.0015546955853767421,0.0
20,1000,0.05,3.0,1.0,38,39,0.002647666499181637,0.0
20,1000,0.1,1.0,0.0,41,42,0.0017519379467902582,0.0
20,1000,0.1,1.0,0.25,35,36,0.0030804137842600503,0.0
20,1000,0.1,1.0,0.5,37,42,0.0029274545671130765,0.0
20,1000,0.1,1.0,1.0,39,40,0.002776118600280321,0.0
20,1000,0.1,1.5,0.0,39,39,0.003812372339284297,0.0
20,1000,0.1,1.5,0.25,34,36,0.003321968916458873,0.0
20,1000,0.1,1.5,0.5,36,36,0.003969595463828939,0.0
20,1000,0.1,1.5,1.0,38,40,0.0027316878312884612,0.0
20,1000,0.1,2.0,0.0,33,33,0.006055092404531436,0.0
20,1000,0.1,2.0,0.25,39,40,0.00277704647849933,0.0
20,1000,0.1,2.0,0.5,39,40,0.004191745695403763,0.0
20,1000,0.1,2.0,1.0,29,32,0.007170063022140119,0.0
20,1000,0.1,3.0,0.0,38,40,0.003392505134841878,0.0
20,1000,0.1,3.0,0.25,32,33,0.007712120091926106,0.0
20,1000,0.1,3.0,0.5,29,30,0.006576665719315747,0.0
20,1000,0.1,3.0,1.0,30,30,0.005694256195040805,0.0
20,1000,0.2,1.0,0.0,30,31,0.011968002323764174,0.0
20,1000,0.2,1.0,0.25,34,34,0.01161653550808582,0.0
20,1000,0.2,1.0,0.5,31,31,0.010641949615450348,0.0
20,1000,0.2,1.0,1.0,23,26,0.016603976591560484,0.0025350832770520276
20,1000,0.2,1.5,0.0,26,28,0.01880079298997671,0.0
20,1000,0.2,1.5,0.25,29,29,0.012065708941559047,0.0
20,1000,0.2,1.5,0.5,30,30,0.014666759100197215,0.0
20,1000,0.2,1.5,1.0,29,30,0.019316499850542075,0.0
20,1000,0.2,2.0,0.0,22,23,0.024566060601321,0.008265571471429183
20,1000,0.2,2.0,0.25,33,33,0.013966490118365468,0.0
20,1000,0.2,2.0,0.5,25,25,0.01882018356812401,0.0005314598160327949
