solver,problem,factor,default,tested,tested_scores,best,best_score,baseline_score
ASTRODF,SSCONT-1,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, 513.1857369813849, 520.7446377358341]",2.0,513.1857369813849,510.70793985594855
ASTRODF,SSCONT-1,gamma_2,0.5,"[0.2, 0.3, 0.7]","[510.00498609450625, 514.4135606336602, 510.6882889884585]",0.2,510.00498609450625,510.70793985594855
ASTRODF,SSCONT-1,lambda_min,5.0,"[4, 6, 8]","[517.0083575647518, 511.69473105238455, 513.5688194312307]",6.0,511.69473105238455,510.70793985594855
ASTRODF,SSCONT-1,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[510.04164178804103, 510.7043081360555, 510.70793985594855]",0.01,510.04164178804103,510.70793985594855
ASTRODF,DYNAMNEWS-1,eta_1,0.1,"[0.01, 0.05, 0.08]","[158.7727266376829, 158.7727266376829, 158.7727266376829]",0.01,158.7727266376829,158.7727266376829
ASTRODF,DYNAMNEWS-1,eta_2,0.8,"[0.2, 0.5, 0.8]","[158.7727266376829, 158.7727266376829, 158.7727266376829]",0.2,158.7727266376829,158.7727266376829
ASTRODF,DYNAMNEWS-1,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, 162.97306832603266, 149.06175769028343]",3.5,149.06175769028343,158.7727266376829
ASTRODF,DYNAMNEWS-1,gamma_2,0.5,"[0.2, 0.3, 0.7]","[169.87422202184885, 159.23729626893686, 150.723587799158]",0.7,150.723587799158,158.7727266376829
ASTRODF,DYNAMNEWS-1,lambda_min,5.0,"[4, 6, 8]","[158.77272592257808, 149.62214231977524, 149.62214231977524]",6.0,149.62214231977524,158.7727266376829
ASTRODF,DYNAMNEWS-1,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[158.7727266376829, 158.7727266376829, 158.7727266376829]",0.01,158.7727266376829,158.7727266376829
NELDMD,SAN-1,r,30.0,"[12, 24, 48]","[22.851260481868938, 47.70430125700826, 50.758904738113465]",12.0,22.851260481868938,47.70430125700826
NELDMD,NETWORK-1,r,30.0,"[12, 24, 48]","[64.46043571104786, 67.21827153578126, 104.51080661025487]",12.0,64.46043571104786,68.84869305133316
NELDMD,ROSENBROCK-1,r,30.0,"[12, 24, 48]","[5614.945992360633, 5614.945992360633, 5614.945992360633]",12.0,5614.945992360633,5614.945992360633
NELDMD,SSCONT-1,r,30.0,"[12, 24, 48]","[514.4869639599189, 512.1233122143428, 505.74591948719353]",48.0,505.74591948719353,509.17458772829326
NELDMD,DYNAMNEWS-1,r,30.0,"[12, 24, 48]","[143.93333898506646, 137.4287357785937, 120.0]",48.0,120.0,131.13502533747766
RNDSRCH,SAN-1,sample_size,10.0,"[4, 8, 16]","[24.929307634196636, 22.696300736760744, 24.01711076985883]",8.0,22.696300736760744,22.885222469340437
RNDSRCH,NETWORK-1,sample_size,10.0,"[4, 8, 16]","[71.84127056969923, 73.17392730719519, 78.94867211476091]",4.0,71.84127056969923,74.41669886350243
